Open Requisitions Report
# Records: 222

"Requisition Status","Requisition Division","Requisition ID","Requisition Location","Job Category","Requisition Position","Requisition Display Job Title","Requisition Date Opened","Requisition Days Open","Requisition Address 1","Requisition Address 2","Requisition City","Requisition State/Province","Requisition Postal Code","Requisition Description - External","Requisition Primary Owner - Full Name"
"Open","RETAIL","req358","00371-CLAYTON HOMES #371","Office and Administrative Support","SALES ASSISTANT","Clayton Homes Sales Assistant - Cleveland, TN","09/27/2016 09:54 AM","47","2350 SOUTH LEE HIGHWAY SW","","CLEVELAND","TN","37311","Position Description: Sales AssistantClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.Sales AssistantAs a Sales Assistant with Clayton Homes, you will assist the sales team to create a world class home buying experience. To be successful in this role, Sales Assistants must possess an ability to create an initial rapport over the phone with potential home buyers, generate new sales leads in the community for the sales team, and take applications over the phone for prospective home buyers. The sole purpose of this role is to assist the sales team and general manager of the home center to generate leads.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Prospect for customers utilizing various marketing methods including, but not limited to web marketing, road signage, and flyers.Set appointments utilizing prospecting as well as fielding ad calls;Answer prospect inquiries;Greet prospects as they visit the retail location;Effectively demonstrate (feature-benefit) homes to prospects;TO (turn over) prospects to Sales Professional/Manager when applicable;Schedule set-up and delivery and other service-related items;Follow-up with customers utilizing various contact methods;Maintain atmosphere of the retail office and homes on the property, including but not limited to cleaning, maintaining refreshment area, moving furniture and décor,etcActively partner with manager on all exceptions and questions;Protect company assets;Participate in sales meetings and other company events;Participate as needed during marketing promotions and events;Contribute to a positive team environment;Assist other Sales Professionals as needed;Perform other duties as assigned or delegated by manager;Compensation:As a Sales Assistant with Clayton Homes, you will receive an hourly wage plus a percentage of commission on deals you generated.Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;Training and Professional Development – we offer online educational opportunities and training seminars.","HAGOOD, MICHAEL"
"Open","RETAIL","req359","00618-CLAYTON HOMES #618","Sales","SALES PROFESSIONAL","Clayton Homes Sales Professional - Splendora, TX - Bilingual Preferred","09/27/2016 11:08 AM","47","12793 HIGHWAY 59","","SPLENDORA","TX","77372","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","CHILES, SUE"
"Open","RETAIL","req363","00742-OAKWOOD HOMES #742","Sales","SALES PROFESSIONAL","Oakwood Homes Sales Professional - Lacey, WA","09/27/2016 03:58 PM","47","6312 MARTIN WAY","","LACEY","WA","98516","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Oakwood Ambassador – protect the Oakwood Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Oakwood Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","DICKSON, DAMON"
"Open","RETAIL","req341","00653-CLAYTON HOMES #653","Sales","SALES PROFESSIONAL","Clayton Homes Sales Professional - McComb, MS","09/21/2016 05:40 PM","53","216 HWY. 98 EAST","","MCCOMB","MS","39648","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","HAGOOD, MICHAEL"
"Open","RETAIL","req368","01023-CLAYTON HOMES #1023","Sales","SALES PROFESSIONAL","Clayton Homes Sales Professional - Barboursville, WV","09/28/2016 05:01 PM","46","5898 ROUTE 60 EAST","","BARBOURSVILLE","WV","25504","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","KEMP, JENNIFER"
"Open","RETAIL","req369","01042-CLAYTON HOMES #1042","Sales","SALES PROFESSIONAL","Clayton Homes Sales Professional - Durango, CO","09/28/2016 05:09 PM","46","27015 US HWY 160","","DURANGO","CO","81301","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","DICKSON, DAMON"
"Open","RETAIL","req392","00716-OAKWOOD HOMES #716","Sales","SALES PROFESSIONAL","Oakwood Homes Sales Professional - Greenville, NC","10/07/2016 09:27 AM","37","3908 U.S. HWY 264 EAST","","GREENVILLE","NC","27858","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","WILLIAMS, JOHN"
"Open","RETAIL","req393","00702-OAKWOOD HOMES #702","Sales","SALES PROFESSIONAL","Oakwood Homes Sales Professional - Glen Allen, VA","10/07/2016 09:53 AM","37","11160 WASHINGTON HIGHWAY","","GLEN ALLEN","VA","23059","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","WILLIAMS, JOHN"
"Open","RETAIL","req387","00327-CLAYTON HOMES #327","Sales","SALES PROFESSIONAL","Clayton Homes Sales Professional - Walterboro, SC","10/04/2016 03:45 PM","40","2354 N. JEFFRIES BOULEVARD","","WALTERBORO","SC","29488","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","HINSON, HANNAH"
"Open","RETAIL","req388","00760-FREEDOM HOMES #760","Sales","SALES PROFESSIONAL","Freedom Homes Sales Professional - Gallipolis, OH","10/05/2016 10:16 AM","39","604 STATE RT 7 SOUTH","","GALLIPOLIS","OH","45631","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","KEMP, JENNIFER"
"Open","RETAIL","req330","00187-CLAYTON HOMES #187","Sales","SALES PROFESSIONAL","Clayton Homes Sales Professional - Elizabeth City, NC","09/20/2016 04:26 PM","54","1560 N. ROAD STREET","","ELIZABETH CITY","NC","27909","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","KARDATZKE, CHRISTEN"
"Open","RETAIL","req321","00347-CLAYTON HOMES #347","Sales","SALES PROFESSIONAL","Clayton Homes Sales Professional - Reidsville, NC","09/19/2016 05:17 PM","55","1131 FREEWAY DRIVE","","REIDSVILLE","NC","27320","Position Description: Sales ProfessionalClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.As a New Home Sales Professional with Clayton Homes, you will create a world class home buying experience by assisting prospects to identify a floor plan, select options, and coordinate the construction process.To be successful in this role, New Home Sales Professionals must possess an ability to create an initial rapport, establish trusting relationships and provide a high degree of leadership that allows prospects to have the confidence to select Clayton Homes as their housing solution.Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.Job Responsibilities:Clayton Ambassador – protect the Clayton Homes branding and assets by maintaining a high level of integrity throughout the sales process;Constant Learner – develop expertise in areas such as finance mortgage concepts, product, sales acumen, sales presentation skills and your local market;Customer Follow-up – maintain customer files and provide timely follow-up with prospective buyers via the company’s CRM system;Merchandising – assist manager by helping select inventory, decorate models and maintain appearance of the homes;Personal Prospecting – develop, refine and execute a strategic sales and marketing plan to increase home center traffic;Product Demonstration – show prospects display homes, demonstrate features and benefits to create added value;Set Appointments – set home center visits utilizing prospect database and by converting ad calls and web leads;Sales – facilitate the buying process by building trust, meeting needs and converting prospects to satisfied homeowners;Team Contributor – be a positive team member and assist in the development of other Clayton Homes Team Members;Training– participates in all sales meetings, training opportunities and other company sponsored functions;World Class Customer Service – provide a great home buying experience by exceeding the customer expectations and honoring commitments. Benefits:A Berkshire Hathaway Company - an integrity based organization offering unlimited career growth;Comprehensive Benefit Package - Medical, Dental, Life, Vision and 401k with aggressive employer match;Home Centers are closed on Sundays – we believe in offering a balanced working environment;      Performance Perks – we offer incredible rewards for our top performers – Cruises, Resort Trips, etc;Training and Professional Development – we offer online educational opportunities and training seminars.Compensation:As a Sales Professional with Clayton Homes, you will receive a $24k base salary plus a lucrative commission plan. We offer a paid training program and a progressive New Hire sales incentive to help you build your businessUnlimited career and earning potential!","WILLIAMS, JOHN"
